ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv1090,celA2b,"Probable cellulase CelA2b (endo-1,4-beta-glucanase) (endoglucanase) (carboxymethyl cellulase)",8,8,0,0,0,8,0,1,234.75,NE
Rv1091,PE_PGRS22,PE-PGRS family protein PE_PGRS22,27,19,8,0,0,27,0,0.814814815,70.09090909,NE
Rv1092c,coaA,Probable pantothenate kinase CoaA (pantothenic acid kinase),20,19,1,18,0,2,0,0.1,184,ES
Rv1093,glyA1,Serine hydroxymethyltransferase 1 GlyA1,14,13,1,14,0,0,0,0,0,ES
Rv1094,desA2,Possible acyl-[acyl-carrier protein] desaturase DesA2 (acyl-[ACP] desaturase) (stearoyl-ACP desaturase),13,12,1,12,0,1,0,0.076923077,22,ES
Rv1095,phoH2,Probable PHOH-like protein PhoH2 (phosphate starvation-inducible protein PSIH),13,10,3,0,0,13,0,1,60.38461538,NE
Rv1096,-,Possible glycosyl hydrolase,20,16,4,0,0,20,0,0.95,71.89473684,NE
Rv1097c,-,Probable membrane glycine and proline rich protein,18,17,1,2,0,16,0,0.888888889,40.5,NE
Rv1098c,fum,Probable fumarase Fum (fumarate hydratase),13,10,3,13,0,0,0,0,0,ES
Rv1099c,glpX,"Fructose 1,6-bisphosphatase GlpX",14,13,1,0,0,14,0,0.857142857,34.83333333,NE
Rv1100,-,hypothetical protein,10,9,1,0,0,10,0,1,46.7,NE
Rv1101c,-,hypothetical protein,18,17,1,0,0,18,0,1,217.8333333,NE
Rv1102c,mazF3,Toxin MazF3,9,8,1,0,0,9,0,1,216.2222222,NE
Rv1103c,mazE3,Possible antitoxin MazE3,8,8,0,0,0,8,0,1,199.25,NE
Rv1104,-,Possible para-nitrobenzyl esterase (fragment),11,11,0,0,0,11,0,1,125.9090909,NE
Rv1105,-,Possible para-nitrobenzyl esterase (fragment),11,10,1,0,0,11,0,1,98.81818182,NE
Rv1106c,-,3-beta-hydroxysteroid dehydrogenase,19,19,0,0,0,19,0,1,202.9473684,NE
Rv1107c,xseB,Probable exodeoxyribonuclease VII (small subunit) XseB (exonuclease VII small subunit),3,3,0,0,0,3,0,1,183.6666667,NE
Rv1108c,xseA,Probable exodeoxyribonuclease VII (large subunit) XseA (exonuclease VII large subunit),10,10,0,0,0,10,0,1,74.8,NE
Rv1109c,-,hypothetical protein,9,8,1,0,0,9,0,0.888888889,150.875,NE
Rv1110,lytB2,Probable LYTB-related protein LytB2,14,12,2,14,0,0,0,0,0,ES
Rv1111c,-,hypothetical protein,25,23,2,9,0,16,0,0.56,129.5,ESD
Rv1112,-,Probable GTP binding protein,11,10,1,0,0,11,0,1,37.36363636,NE
Rv1113,vapB32,Possible antitoxin VapB32,2,2,0,0,0,2,0,1,48,NE
Rv1114,vapC32,Possible toxin VapC32 Contains PIN domain,3,3,0,0,0,3,0,1,142.6666667,NE
Rv1115,-,Possible exported protein,19,17,2,0,4,15,0,0.842105263,103.625,NE
Rv1116,-,Hypothetical protein,3,3,0,0,0,3,0,1,84,NE
Rv1116A,-,Conserved hypothetical protein (fragment),6,5,1,0,0,6,0,1,240.8333333,NE
Rv1117,-,hypothetical protein,4,3,1,0,0,4,0,0.75,296.3333333,NE
Rv1118c,-,hypothetical protein,12,9,3,0,0,12,0,1,175.5,NE
Rv1119c,-,Hypothetical protein,3,2,1,0,0,3,0,0.666666667,44.5,Uncertain
Rv1120c,-,hypothetical protein,4,3,1,0,0,4,0,0.75,28.33333333,NE
Rv1121,zwf1,Probable glucose-6-phosphate 1-dehydrogenase Zwf1 (G6PD),24,23,1,0,0,24,0,0.958333333,38.30434783,NE
Rv1122,gnd2,"Probable 6-phosphogluconate dehydrogenase,decarboxylating Gnd2",15,15,0,12,0,3,0,0.2,61,ES
Rv1123c,bpoB,Possible peroxidase BpoB (non-haem peroxidase),10,10,0,0,0,10,0,1,88.8,NE
Rv1124,ephC,Probable epoxide hydrolase EphC (epoxide hydratase),12,10,2,0,0,12,0,0.666666667,57.875,NE
Rv1125,-,hypothetical protein,23,21,2,0,0,23,0,0.869565217,29.8,NE
Rv1126c,-,hypothetical protein,11,11,0,0,0,11,0,0.727272727,12.625,NE
Rv1127c,ppdK,"Probable pyruvate, phosphate dikinase PpdK",19,17,2,0,0,19,0,0.842105263,27.1875,NE
Rv1128c,-,hypothetical protein,30,27,3,0,0,30,0,0.866666667,44,NE
Rv1129c,-,Probable transcriptional regulator protein,27,25,2,0,0,27,0,0.851851852,28.43478261,NE
Rv1130,prpD,Possible methylcitrate dehydratase PrpD,27,27,0,0,0,27,0,0.925925926,45.8,NE
Rv1131,prpC,Probable methylcitrate synthase PrpC,17,16,1,0,0,17,0,0.882352941,29.66666667,NE
Rv1132,-,hypothetical protein,27,26,1,0,0,27,0,0.962962963,70.96153846,NE
Rv1133c,metE,"Probable 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase MetE (methionine synthase, vitamin-B12 independent isozyme)",36,31,5,35,0,1,0,0.027777778,19,ES
Rv1134,-,Hypothetical protein,6,5,1,0,0,6,0,1,109.5,NE
Rv1135c,PPE16,PPE family protein PPE16,26,22,4,0,0,26,0,0.923076923,116,NE
Rv1135A,-,Possible acetyl-CoA acetyltransferase (acetoacetyl-CoA thiolase),6,6,0,0,0,6,0,0.833333333,135.4,NE
Rv1136,-,Possible enoyl-CoA hydratase,4,4,0,0,0,4,0,1,97.25,NE
Rv1137c,-,Hypothetical protein,2,2,0,0,0,2,0,1,108,NE
Rv1138c,-,Possible oxidoreductase,17,16,1,0,0,17,0,0.882352941,121.1333333,NE
Rv1139c,-,hypothetical protein,13,12,1,0,0,13,0,1,135.3076923,NE
Rv1140,-,Probable integral membrane protein,11,8,3,0,0,11,0,0.909090909,79.3,NE
Rv1141c,echA11,Probable enoyl-CoA hydratase EchA11 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),14,12,2,0,0,14,0,1,119.2857143,NE
Rv1142c,echA10,Probable enoyl-CoA hydratase EchA10 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),8,7,1,0,0,8,0,1,124.25,NE
Rv1143,mcr,Probable alpha-methylacyl-CoA racemase Mcr (2-methylacyl-CoA racemase) (2-arylpropionyl-CoA epimerase ),16,15,1,0,0,3,13,1,234.1875,GA
Rv1144,-,Probable short-chain type dehydrogenase/reductase,12,12,0,0,0,0,12,1,133.5,GA
Rv1145,mmpL13a,Probable conserved transmembrane transport protein MmpL13a,11,9,2,0,0,0,11,1,116.0909091,GA
Rv1146,mmpL13b,Probable conserved transmembrane transport protein MmpL13b,23,20,3,0,0,0,23,0.956521739,285.6363636,GA
Rv1147,-,hypothetical protein,10,9,1,0,0,0,10,1,178.8,GA
Rv1148c,-,hypothetical protein,23,20,3,0,0,23,0,0.956521739,122.2727273,NE
Rv1149,-,Possible transposase,6,5,1,0,0,6,0,1,64.5,NE
Rv1151c,-,Transcriptional regulatory protein,10,10,0,0,0,10,0,1,235.9,NE
Rv1152,-,Probable transcriptional regulatory protein,5,5,0,0,0,5,0,1,104.6,NE
Rv1153c,omt,Probable O-methyltransferase Omt,19,18,1,0,0,19,0,1,167.7894737,NE
Rv1154c,-,Hypothetical protein,16,16,0,0,0,16,0,1,179.125,NE
Rv1155,-,Possible pyridoxamine 5'-phosphate oxidase (PNP/PMP oxidase) (pyridoxinephosphate oxidase) (PNPOX) (pyridoxine 5'-phosphate oxidase),12,11,1,0,0,12,0,1,136.1666667,NE
Rv1156,-,hypothetical protein,12,10,2,0,0,12,0,1,104.5833333,NE
Rv1157c,-,"Conserved ala-, pro-rich protein",9,8,1,0,0,9,0,0.888888889,88.75,NE
Rv1158c,-,"Conserved hypothetical ala-, pro-rich protein",11,6,5,0,0,11,0,0.818181818,50.55555556,NE
Rv1159,pimE,Mannosyltransferase PimE,29,28,1,0,0,29,0,0.965517241,114.3928571,NE
Rv1159A,-,hypothetical protein,14,11,3,0,0,14,0,0.857142857,53.66666667,NE
Rv1160,mutT2,"Probable mutator protein MutT2 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTPase)",5,5,0,0,0,5,0,1,73.6,NE
Rv1161,narG,Respiratory nitrate reductase (alpha chain) NarG,75,68,7,0,0,75,0,0.933333333,98.01428571,NE
Rv1162,narH,Probable respiratory nitrate reductase (beta chain) NarH,35,33,2,0,0,35,0,0.971428571,175.1764706,NE
Rv1163,narJ,Probable respiratory nitrate reductase (delta chain) NarJ,15,14,1,0,0,15,0,0.933333333,118.5714286,NE
Rv1164,narI,Probable respiratory nitrate reductase (gamma chain) NarI,19,17,2,0,0,19,0,0.894736842,186.4117647,NE
Rv1165,typA,Possible GTP-binding translation elongation factor TypA (tyrosine phosphorylated protein A) (GTP-binding protein),16,14,2,0,0,16,0,1,145.4375,NE
Rv1166,lpqW,Probable conserved lipoprotein LpqW,24,24,0,23,0,1,0,0.041666667,63,ES
Rv1167c,-,Probable transcriptional regulatory protein,10,9,1,0,0,10,0,0.9,75.55555556,NE
Rv1168c,PPE17,PPE family protein PPE17,17,16,1,0,0,17,0,0.941176471,193.25,NE
Rv1169c,lipX,PE family protein Possible lipase LipX,4,4,0,0,0,4,0,1,201,NE
Rv1170,mshB,N-acetyl-1-D-myo-inosityl-2-amino-2-deoxy-alpha- D-glucopyranoside deacetylase MshB (GlcNAc-Ins deacetylase),12,9,3,0,0,12,0,1,146.1666667,NE
Rv1171,-,hypothetical protein,7,6,1,0,0,7,0,1,149.4285714,NE
Rv1172c,PE12,PE family protein PE12,16,14,2,0,0,16,0,1,92.8125,NE
Rv1173,fbiC,Probable F420 biosynthesis protein FbiC,44,41,3,0,0,44,0,0.909090909,48.6,NE
Rv1174c,TB8.4,Low molecular weight T-cell antigen TB8.4,9,9,0,0,0,9,0,1,297.8888889,NE
Rv1175c,fadH,"Probable NADPH dependent 2,4-dienoyl-CoA reductase FadH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase)",29,29,0,0,0,29,0,0.931034483,119.2962963,NE
Rv1176c,-,hypothetical protein,15,12,3,0,0,15,0,0.866666667,108,NE
Rv1177,fdxC,Probable ferredoxin FdxC,7,7,0,7,0,0,0,0,0,ES
Rv1178,-,Probable aminotransferase,21,18,3,1,0,20,0,0.857142857,66.72222222,NE
Rv1179c,-,hypothetical protein,41,35,6,0,0,41,0,0.975609756,86.925,NE
Rv1180,pks3,Probable polyketide beta-ketoacyl synthase Pks3,26,22,4,0,0,26,0,0.923076923,32.29166667,NE
Rv1181,pks4,Probable polyketide beta-ketoacyl synthase Pks4,70,64,6,0,0,70,0,0.857142857,47.4,NE
Rv1182,papA3,Probable conserved polyketide synthase associated protein PapA3,40,38,2,0,0,40,0,0.875,55.4,NE
Rv1183,mmpL10,Probable conserved transmembrane transport protein MmpL10,53,51,2,0,0,53,0,0.867924528,58.7826087,NE
Rv1184c,-,Possible exported protein,23,21,2,0,0,23,0,0.913043478,62.04761905,NE
Rv1185c,fadD21,Probable fatty-acid-AMP ligase FadD21 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase),32,30,2,0,0,32,0,1,74.625,NE
Rv1186c,-,hypothetical protein,19,16,3,0,0,19,0,0.894736842,47.11764706,NE
Rv1187,rocA,Probable pyrroline-5-carboxylate dehydrogenase RocA,24,24,0,0,0,24,0,0.708333333,36.29411765,NE
Rv1188,-,Probable proline dehydrogenase,21,14,7,0,0,21,0,0.666666667,46.28571429,NE
Rv1189,sigI,Possible alternative RNA polymerase sigma factor SigI,9,9,0,0,0,9,0,0.888888889,40.25,NE
Rv1190,-,hypothetical protein,9,7,2,0,0,9,0,0.888888889,72.875,NE
Rv1191,-,hypothetical protein,9,9,0,0,0,9,0,1,108.1111111,NE
Rv1192,-,hypothetical protein,14,13,1,0,0,14,0,0.928571429,116.0769231,NE
Rv1193,fadD36,Probable fatty-acid-CoA ligase FadD36 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),21,17,4,0,0,21,0,0.952380952,21.9,NE
Rv1194c,-,hypothetical protein,19,17,2,0,0,19,0,0.894736842,70.64705882,NE
Rv1195,PE13,PE family protein PE13,6,6,0,0,0,0,6,1,310.8333333,GA
Rv1196,PPE18,PPE family protein PPE18,11,11,0,0,0,0,11,1,179,GA
Rv1197,esxK,ESAT-6 like protein EsxK (ESAT-6 like protein 3),4,4,0,0,0,0,4,1,152.25,GA
Rv1198,esxL,Putative ESAT-6 like protein EsxL (ESAT-6 like protein 4),4,4,0,0,0,0,4,1,187,GA
Rv1199c,-,Possible transposase,17,14,3,0,0,16,1,1,108.3529412,NE
Rv1200,-,Probable conserved integral membrane transport protein,30,29,1,0,0,30,0,1,187.7666667,NE
Rv1201c,dapD,Tetrahydrodipicolinate N-succinyltransferase DapD,12,11,1,11,0,1,0,0.166666667,47.5,ES
Rv1202,dapE,Probable succinyl-diaminopimelate desuccinylase DapE,17,15,2,16,0,1,0,0.058823529,2,ES
Rv1203c,-,Hypothetical protein,9,8,1,0,0,9,0,1,96.11111111,NE
Rv1204c,-,hypothetical protein,17,16,1,0,0,17,0,1,195.6470588,NE
Rv1205,-,hypothetical protein,13,11,2,0,0,13,0,1,111.0769231,NE
Rv1206,fadD6,Probable fatty-acid-CoA ligase FadD6 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),38,30,8,0,0,38,0,0.947368421,89.05555556,NE
Rv1207,folP2,Dihydropteroate synthase 2 FolP2 (DHPS 2) (dihydropteroate pyrophosphorylase 2),10,8,2,0,0,10,0,0.9,52.66666667,NE
Rv1208,gpgS,Probable glucosyl-3-phosphoglycerate synthase GpgS,14,14,0,13,0,1,0,0.142857143,1,ES
Rv1209,-,hypothetical protein,5,5,0,0,0,5,0,1,222,NE
Rv1210,tagA,"Probable DNA-3-methyladenine glycosylase I TagA (tag I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I)",11,10,1,0,0,11,0,1,159.5454545,NE
Rv1211,-,hypothetical protein,5,5,0,0,0,5,0,1,262,NE
Rv1212c,glgA,Putative glycosyl transferase GlgA,33,32,1,0,0,33,0,1,141.1818182,NE
Rv1213,glgC,Glucose-1-phosphate adenylyltransferase GlgC (ADP-glucose synthase) (ADP-glucose pyrophosphorylase),31,30,1,0,0,31,0,1,132.7096774,NE
Rv1214c,PE14,PE family protein PE14,5,5,0,0,0,5,0,1,87.4,NE
Rv1215c,-,hypothetical protein,27,25,2,0,0,27,0,0.888888889,82.375,NE
Rv1216c,-,Probable conserved integral membrane protein,20,18,2,0,0,20,0,0.95,142.1052632,NE
Rv1217c,-,Probable tetronasin-transport integral membrane protein ABC transporter,21,20,1,0,0,21,0,1,47.95238095,NE
Rv1218c,-,Probable tetronasin-transport ATP-binding protein ABC transporter,6,6,0,0,0,6,0,1,86.66666667,NE
Rv1219c,-,Probable transcriptional regulatory protein,10,10,0,0,0,10,0,1,69.9,NE
Rv1220c,-,Probable methyltransferase,11,9,2,0,0,11,0,0.818181818,165.6666667,NE
Rv1221,sigE,Alternative RNA polymerase sigma factor SigE,17,16,1,0,0,17,0,1,28,NE
Rv1222,rseA,Anti-sigma factor RseA,3,2,1,0,0,3,0,0.666666667,378,Uncertain
Rv1223,htrA,Probable serine protease HtrA (DEGP protein),23,18,5,19,1,3,0,0.173913043,164.75,ES
Rv1224,tatB,Probable protein TatB,6,6,0,0,5,1,0,0.666666667,54.75,GD
Rv1225c,-,hypothetical protein,7,7,0,0,0,7,0,1,155.2857143,NE
Rv1226c,-,Probable transmembrane protein,15,15,0,0,0,15,0,1,120,NE
Rv1227c,-,Probable transmembrane protein,6,5,1,0,0,6,0,1,62.16666667,NE
Rv1228,lpqX,Probable lipoprotein LpqX,9,9,0,0,0,1,8,1,207.7777778,GA
Rv1229c,mrp,Probable Mrp-related protein Mrp,17,14,3,14,0,2,1,0.176470588,65.33333333,ES
Rv1230c,-,Possible membrane protein,20,20,0,0,0,20,0,1,84.25,NE
Rv1231c,-,Probable membrane protein,7,7,0,0,0,7,0,1,103.2857143,NE
Rv1232c,-,hypothetical protein,11,11,0,0,0,11,0,1,211.7272727,NE
Rv1233c,-,hypothetical protein,20,15,5,0,0,20,0,0.9,132.9444444,NE
Rv1234,-,Probable transmembrane protein,9,8,1,0,0,9,0,0.888888889,102,NE
Rv1235,lpqY,Probable sugar-binding lipoprotein LpqY,30,26,4,0,0,30,0,0.9,50.11111111,NE
Rv1236,sugA,Probable sugar-transport integral membrane protein ABC transporter SugA,19,18,1,0,0,19,0,1,78.36842105,NE
Rv1237,sugB,Probable sugar-transport integral membrane protein ABC transporter SugB,13,12,1,0,0,13,0,0.923076923,44.66666667,NE
Rv1238,sugC,Probable sugar-transport ATP-binding protein ABC transporter SugC,26,25,1,0,0,26,0,0.884615385,47.86956522,NE
Rv1239c,corA,Possible magnesium and cobalt transport transmembrane protein CorA,26,21,5,0,0,26,0,0.846153846,56.45454545,NE
Rv1240,mdh,Probable malate dehydrogenase Mdh,5,4,1,0,0,5,0,0,0,NE
Rv1241,vapB33,Possible antitoxin VapB33,1,1,0,0,0,1,0,1,34,Uncertain
Rv1242,vapC33,Possible toxin VapC33 Contains PIN domain,10,10,0,0,0,10,0,1,129.7,NE
Rv1243c,PE_PGRS23,PE-PGRS family protein PE_PGRS23,19,16,3,0,0,19,0,0.894736842,91.41176471,NE
Rv1244,lpqZ,Probable lipoprotein LpqZ,8,8,0,0,0,8,0,1,96.875,NE
Rv1245c,-,Probable short-chain type dehydrogenase/reductase,14,13,1,0,0,14,0,0.928571429,167.4615385,NE
Rv1246c,relE,Toxin RelE,8,8,0,0,0,8,0,1,155.625,NE
Rv1247c,relB,Antitoxin RelB,6,5,1,0,0,6,0,1,90.83333333,NE
Rv1248c,-,Multifunctional alpha-ketoglutarate metabolic enzyme,46,44,2,0,0,46,0,0.847826087,21.25641026,NE
Rv1249c,-,Possible membrane protein,13,11,2,0,0,13,0,1,177.3076923,NE
Rv1250,-,Probable drug-transport integral membrane protein,32,28,4,0,0,32,0,1,90.78125,NE
Rv1251c,-,hypothetical protein,61,56,5,0,0,61,0,0.918032787,67.48214286,NE
Rv1252c,lprE,Probable lipoprotein LprE,8,8,0,0,0,8,0,1,203.375,NE
Rv1253,deaD,Probable cold-shock DeaD-box protein A homolog DeaD (ATP-dependent RNA helicase dead homolog),35,33,2,0,0,35,0,0.828571429,70.5862069,NE
Rv1254,-,Probable acyltransferase,27,24,3,25,0,2,0,0.185185185,29,ES
Rv1255c,-,Probable transcriptional regulatory protein,10,9,1,0,0,10,0,0.9,69.66666667,NE
Rv1256c,cyp130,Probable cytochrome P450 130 Cyp130,16,16,0,0,0,16,0,1,111.875,NE
Rv1257c,-,Probable oxidoreductase,16,12,4,0,0,16,0,0.8125,88.92307692,NE
Rv1258c,-,Probable conserved integral membrane transport protein,22,21,1,0,0,22,0,0.954545455,133.6666667,NE
Rv1259,udgB,"Probable uracil DNA glycosylase, UdgB",14,13,1,0,0,14,0,0.928571429,46.92307692,NE
Rv1260,-,Probable oxidoreductase,28,23,5,0,0,28,0,0.821428571,56.30434783,NE
Rv1261c,-,hypothetical protein,12,12,0,0,0,12,0,1,44.41666667,NE
Rv1262c,-,Hypothetical hit-like protein,4,4,0,0,0,4,0,1,83.5,NE
Rv1263,amiB2,Probable amidase AmiB2 (aminohydrolase),22,21,1,0,0,22,0,1,75.18181818,NE
Rv1264,-,Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase),14,10,4,0,0,14,0,0.785714286,189.6363636,NE
Rv1265,-,hypothetical protein,12,12,0,0,0,12,0,0.75,37.88888889,NE
Rv1266c,pknH,Probable transmembrane serine/threonine-protein kinase H PknH (protein kinase H) (STPK H),29,29,0,0,0,29,0,0.965517241,131.6071429,NE
Rv1267c,embR,Probable transcriptional regulatory protein EmbR,21,19,2,0,0,21,0,0.952380952,106.95,NE
Rv1268c,-,Hypothetical protein,11,9,2,0,0,11,0,0.818181818,222.7777778,NE
Rv1269c,-,Conserved probable secreted protein,9,9,0,0,0,9,0,1,113.7777778,NE
Rv1270c,lprA,Possible lipoprotein LprA,12,10,2,0,0,12,0,0.916666667,49.36363636,NE
Rv1271c,-,Conserved hypothetical secreted protein,8,7,1,0,0,8,0,0.875,72.85714286,NE
Rv1272c,-,Probable drugs-transport transmembrane ATP-binding protein ABC transporter,31,28,3,0,0,31,0,0.806451613,61.16,NE
Rv1273c,-,Probable drugs-transport transmembrane ATP-binding protein ABC transporter,32,28,4,0,0,32,0,0.875,62.75,NE
Rv1274,lprB,Possible lipoprotein LprB,4,3,1,0,0,4,0,0.75,17,NE
Rv1275,lprC,Possible lipoprotein LprC,7,5,2,0,0,7,0,0.857142857,16.33333333,NE
Rv1276c,-,hypothetical protein,8,6,2,0,0,8,0,0.875,19.14285714,NE
Rv1277,-,hypothetical protein,20,19,1,0,0,20,0,1,105.55,NE
Rv1278,-,Hypothetical protein,28,24,4,0,0,28,0,0.857142857,47.33333333,NE
Rv1279,-,Probable dehydrogenase FAD flavoprotein GMC oxidoreductase,30,29,1,0,0,30,0,0.966666667,99.79310345,NE
Rv1280c,oppA,Probable periplasmic oligopeptide-binding lipoprotein OppA,26,23,3,0,0,26,0,0.961538462,78.72,NE
Rv1281c,oppD,Probable oligopeptide-transport ATP-binding protein ABC transporter OppD,28,20,8,0,0,28,0,0.785714286,25.5,NE
Rv1282c,oppC,Probable oligopeptide-transport integral membrane protein ABC transporter OppC,16,15,1,0,0,16,0,0.875,62.71428571,NE
Rv1283c,oppB,Probable oligopeptide-transport integral membrane protein ABC transporter OppB,21,18,3,0,0,21,0,0.904761905,44.10526316,NE
Rv1284,canA,Beta-carbonic anhydrase,7,5,2,0,0,7,0,0.714285714,51.8,NE
Rv1285,cysD,Probable sulfate adenylyltransferase subunit 2 CysD,16,14,2,0,8,8,0,0.75,10.25,NE
Rv1286,cysN,Probable bifunctional enzyme CysN/CysC: sulfate adenyltransferase (subunit 1) + adenylylsulfate kinase,35,33,2,0,23,12,0,0.828571429,27.4137931,GD
Rv1287,-,hypothetical protein,13,11,2,0,0,13,0,1,66.15384615,NE
Rv1288,-,hypothetical protein,34,34,0,0,0,34,0,1,177.9705882,NE
Rv1289,-,hypothetical protein,11,10,1,0,0,11,0,1,88.72727273,NE
Rv1290c,-,hypothetical protein,35,32,3,0,0,35,0,0.971428571,185.4705882,NE
Rv1290A,-,Hypothetical protein,7,5,2,0,0,7,0,1,40.57142857,NE
Rv1291c,-,Conserved hypothetical secreted protein,4,4,0,0,0,4,0,1,61,NE
Rv1292,argS,Probable arginyl-tRNA synthetase ArgS (ARGRS) (arginine--tRNA ligase),34,30,4,34,0,0,0,0,0,ES
Rv1293,lysA,Diaminopimelate decarboxylase LysA (DAP decarboxylase),27,24,3,27,0,0,0,0,0,ES
Rv1294,thrA,Probable homoserine dehydrogenase ThrA,24,22,2,24,0,0,0,0,0,ES
Rv1295,thrC,Threonine synthase ThrC (ts),21,19,2,21,0,0,0,0.047619048,2,ES
Rv1296,thrB,Probable homoserine kinase ThrB,16,13,3,15,0,1,0,0.125,3.5,ES
Rv1297,rho,Probable transcription termination factor Rho homolog,22,21,1,18,0,4,0,0.045454545,10,ES
Rv1298,rpmE,50S ribosomal protein L31 RpmE,7,7,0,0,0,7,0,0.857142857,19.66666667,NE
Rv1299,prfA,Probable peptide chain release factor 1 PrfA (RF-1),14,13,1,14,0,0,0,0,0,ES
Rv1300,hemK,Probable HemK protein homolog HemK,14,11,3,0,14,0,0,0.428571429,1.5,GD
Rv1301,-,hypothetical protein,11,9,2,0,11,0,0,0.454545455,1.2,GD
Rv1302,rfe,Probable undecapaprenyl-phosphate alpha-N-acetylglucosaminyltransferase Rfe (UDP-GlcNAc transferase),20,20,0,16,0,4,0,0.2,292.25,ES
Rv1303,-,hypothetical protein,4,4,0,0,0,4,0,0.25,91,NE
Rv1304,atpB,Probable ATP synthase a chain AtpB (protein 6),11,11,0,10,0,1,0,0.090909091,43,ES
Rv1305,atpE,Probable ATP synthase C chain AtpE (lipid-binding protein) (dicyclohexylcarbodiimide-binding protein),8,6,2,7,0,1,0,0.125,1,ES
Rv1306,atpF,Probable ATP synthase B chain AtpF,4,4,0,4,0,0,0,0,0,ES
Rv1307,atpH,Probable ATP synthase delta chain AtpH,20,20,0,20,0,0,0,0.05,2,ES
Rv1308,atpA,Probable ATP synthase alpha chain AtpA,26,23,3,25,0,1,0,0.038461538,59,ES
Rv1309,atpG,Probable ATP synthase gamma chain AtpG,19,19,0,18,0,0,1,0.052631579,8,ES
Rv1310,atpD,Probable ATP synthase beta chain AtpD,20,19,1,20,0,0,0,0,0,ES
Rv1311,atpC,Probable ATP synthase epsilon chain AtpC,2,2,0,1,0,1,0,0.5,2,Uncertain
Rv1312,-,Conserved hypothetical secreted protein,10,9,1,0,0,10,0,0.9,24.44444444,NE
Rv1313c,-,Possible transposase,17,16,1,0,0,17,0,1,118.7058824,NE
Rv1314c,-,hypothetical protein,16,15,1,0,0,16,0,0.9375,132.8666667,NE
Rv1315,murA,Probable UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA,17,15,2,16,0,1,0,0.058823529,6,ES
Rvnr01,rrs,16S rRNA,63,62,1,63,0,0,0,0.031746032,1,ES
Rv1316c,ogt,Methylated-DNA--protein-cysteine methyltransferase Ogt (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase),9,8,1,0,0,9,0,1,162.5555556,NE
Rv1317c,alkA,Probable bifunctional regulatory protein and DNA repair enzyme AlkA (regulatory protein of adaptative response) (methylphosphotriester-DNA--protein-cysteine S-methyltransferase),13,12,1,0,0,13,0,1,112.6923077,NE
Rv1318c,-,Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase),20,18,2,0,0,20,0,0.9,164.4444444,NE
Rv1319c,-,Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase),29,26,3,0,0,29,0,0.965517241,173.2857143,NE
Rv1320c,-,Possible adenylate cyclase (ATP pyrophosphate-lyase) (adenylyl cyclase),30,28,2,0,0,30,0,0.966666667,177.137931,NE
Rv1321,-,hypothetical protein,12,11,1,0,0,12,0,0.916666667,168.3636364,NE
Rv1322,-,hypothetical protein,6,6,0,0,0,6,0,1,133,NE
Rv1322A,-,hypothetical protein,7,7,0,0,0,7,0,1,97.57142857,NE
Rv1323,fadA4,Probable acetyl-CoA acetyltransferase FadA4 (acetoacetyl-CoA thiolase),15,13,2,0,0,15,0,0.866666667,152.4615385,NE
Rv1324,-,Possible thioredoxin,6,5,1,0,0,6,0,0.833333333,47.8,NE
Rv1325c,PE_PGRS24,PE-PGRS family protein PE_PGRS24,11,8,3,0,0,11,0,0.818181818,32.55555556,NE
Rv1326c,glgB,"1,4-alpha-glucan branching enzyme GlgB (glycogen branching enzyme)",43,42,1,42,0,1,0,0.046511628,9.5,ES
Rv1327c,glgE,Probable glucanase GlgE,39,35,4,39,0,0,0,0.025641026,1,ES
Rv1328,glgP,Probable glycogen phosphorylase GlgP,45,42,3,0,0,45,0,0.955555556,37.09302326,NE
